fid,left,top,right,bottom,id
6,-1357.66650390625,-3555099.75,-857.66650390625,-3555599.75,6
8,-1357.66650390625,-3556099.75,-857.66650390625,-3556599.75,8
9,-1357.66650390625,-3556599.75,-857.66650390625,-3557099.75,9
13,-1357.66650390625,-3558599.75,-857.66650390625,-3559099.75,13
14,-1357.66650390625,-3559099.75,-857.66650390625,-3559599.75,14
15,-1357.66650390625,-3559599.75,-857.66650390625,-3560099.75,15
17,-1357.66650390625,-3560599.75,-857.66650390625,-3561099.75,17
19,-1357.66650390625,-3561599.75,-857.66650390625,-3562099.75,19
100,-857.66650390625,-3553099.75,-357.66650390625,-3553599.75,100
107,-857.66650390625,-3556599.75,-357.66650390625,-3557099.75,107
108,-857.66650390625,-3557099.75,-357.66650390625,-3557599.75,108
109,-857.66650390625,-3557599.75,-357.66650390625,-3558099.75,109
110,-857.66650390625,-3558099.75,-357.66650390625,-3558599.75,110
111,-857.66650390625,-3558599.75,-357.66650390625,-3559099.75,111
113,-857.66650390625,-3559599.75,-357.66650390625,-3560099.75,113
202,-357.66650390625,-3555099.75,142.33349609375,-3555599.75,202
204,-357.66650390625,-3556099.75,142.33349609375,-3556599.75,204
207,-357.66650390625,-3557599.75,142.33349609375,-3558099.75,207
208,-357.66650390625,-3558099.75,142.33349609375,-3558599.75,208
209,-357.66650390625,-3558599.75,142.33349609375,-3559099.75,209
211,-357.66650390625,-3559599.75,142.33349609375,-3560099.75,211
213,-357.66650390625,-3560599.75,142.33349609375,-3561099.75,213
217,-357.66650390625,-3562599.75,142.33349609375,-3563099.75,217
218,-357.66650390625,-3563099.75,142.33349609375,-3563599.75,218
219,-357.66650390625,-3563599.75,142.33349609375,-3564099.75,219
220,-357.66650390625,-3564099.75,142.33349609375,-3564599.75,220
222,-357.66650390625,-3565099.75,142.33349609375,-3565599.75,222
295,142.33349609375,-3552599.75,642.33349609375,-3553099.75,295
297,142.33349609375,-3553599.75,642.33349609375,-3554099.75,297
298,142.33349609375,-3554099.75,642.33349609375,-3554599.75,298
304,142.33349609375,-3557099.75,642.33349609375,-3557599.75,304
311,142.33349609375,-3560599.75,642.33349609375,-3561099.75,311
312,142.33349609375,-3561099.75,642.33349609375,-3561599.75,312
315,142.33349609375,-3562599.75,642.33349609375,-3563099.75,315
318,142.33349609375,-3564099.75,642.33349609375,-3564599.75,318
319,142.33349609375,-3564599.75,642.33349609375,-3565099.75,319
321,142.33349609375,-3565599.75,642.33349609375,-3566099.75,321
323,142.33349609375,-3566599.75,642.33349609375,-3567099.75,323
324,142.33349609375,-3567099.75,642.33349609375,-3567599.75,324
395,642.33349609375,-3553599.75,1142.33349609375,-3554099.75,395
398,642.33349609375,-3555099.75,1142.33349609375,-3555599.75,398
400,642.33349609375,-3556099.75,1142.33349609375,-3556599.75,400
403,642.33349609375,-3557599.75,1142.33349609375,-3558099.75,403
405,642.33349609375,-3558599.75,1142.33349609375,-3559099.75,405
409,642.33349609375,-3560599.75,1142.33349609375,-3561099.75,409
412,642.33349609375,-3562099.75,1142.33349609375,-3562599.75,412
416,642.33349609375,-3564099.75,1142.33349609375,-3564599.75,416
419,642.33349609375,-3565599.75,1142.33349609375,-3566099.75,419
420,642.33349609375,-3566099.75,1142.33349609375,-3566599.75,420
421,642.33349609375,-3566599.75,1142.33349609375,-3567099.75,421
422,642.33349609375,-3567099.75,1142.33349609375,-3567599.75,422
423,642.33349609375,-3567599.75,1142.33349609375,-3568099.75,423
424,642.33349609375,-3568099.75,1142.33349609375,-3568599.75,424
425,642.33349609375,-3568599.75,1142.33349609375,-3569099.75,425
494,1142.33349609375,-3554099.75,1642.33349609375,-3554599.75,494
497,1142.33349609375,-3555599.75,1642.33349609375,-3556099.75,497
503,1142.33349609375,-3558599.75,1642.33349609375,-3559099.75,503
505,1142.33349609375,-3559599.75,1642.33349609375,-3560099.75,505
506,1142.33349609375,-3560099.75,1642.33349609375,-3560599.75,506
508,1142.33349609375,-3561099.75,1642.33349609375,-3561599.75,508
512,1142.33349609375,-3563099.75,1642.33349609375,-3563599.75,512
515,1142.33349609375,-3564599.75,1642.33349609375,-3565099.75,515
516,1142.33349609375,-3565099.75,1642.33349609375,-3565599.75,516
518,1142.33349609375,-3566099.75,1642.33349609375,-3566599.75,518
522,1142.33349609375,-3568099.75,1642.33349609375,-3568599.75,522
523,1142.33349609375,-3568599.75,1642.33349609375,-3569099.75,523
526,1142.33349609375,-3570099.75,1642.33349609375,-3570599.75,526
527,1142.33349609375,-3570599.75,1642.33349609375,-3571099.75,527
528,1142.33349609375,-3571099.75,1642.33349609375,-3571599.75,528
531,1142.33349609375,-3572599.75,1642.33349609375,-3573099.75,531
533,1142.33349609375,-3573599.75,1642.33349609375,-3574099.75,533
591,1642.33349609375,-3553599.75,2142.33349609375,-3554099.75,591
592,1642.33349609375,-3554099.75,2142.33349609375,-3554599.75,592
593,1642.33349609375,-3554599.75,2142.33349609375,-3555099.75,593
596,1642.33349609375,-3556099.75,2142.33349609375,-3556599.75,596
597,1642.33349609375,-3556599.75,2142.33349609375,-3557099.75,597
602,1642.33349609375,-3559099.75,2142.33349609375,-3559599.75,602
603,1642.33349609375,-3559599.75,2142.33349609375,-3560099.75,603
608,1642.33349609375,-3562099.75,2142.33349609375,-3562599.75,608
609,1642.33349609375,-3562599.75,2142.33349609375,-3563099.75,609
610,1642.33349609375,-3563099.75,2142.33349609375,-3563599.75,610
612,1642.33349609375,-3564099.75,2142.33349609375,-3564599.75,612
616,1642.33349609375,-3566099.75,2142.33349609375,-3566599.75,616
618,1642.33349609375,-3567099.75,2142.33349609375,-3567599.75,618
619,1642.33349609375,-3567599.75,2142.33349609375,-3568099.75,619
622,1642.33349609375,-3569099.75,2142.33349609375,-3569599.75,622
624,1642.33349609375,-3570099.75,2142.33349609375,-3570599.75,624
626,1642.33349609375,-3571099.75,2142.33349609375,-3571599.75,626
628,1642.33349609375,-3572099.75,2142.33349609375,-3572599.75,628
629,1642.33349609375,-3572599.75,2142.33349609375,-3573099.75,629
630,1642.33349609375,-3573099.75,2142.33349609375,-3573599.75,630
631,1642.33349609375,-3573599.75,2142.33349609375,-3574099.75,631
633,1642.33349609375,-3574599.75,2142.33349609375,-3575099.75,633
636,1642.33349609375,-3576099.75,2142.33349609375,-3576599.75,636
687,2142.33349609375,-3552599.75,2642.33349609375,-3553099.75,687
692,2142.33349609375,-3555099.75,2642.33349609375,-3555599.75,692
693,2142.33349609375,-3555599.75,2642.33349609375,-3556099.75,693
694,2142.33349609375,-3556099.75,2642.33349609375,-3556599.75,694
698,2142.33349609375,-3558099.75,2642.33349609375,-3558599.75,698
703,2142.33349609375,-3560599.75,2642.33349609375,-3561099.75,703
704,2142.33349609375,-3561099.75,2642.33349609375,-3561599.75,704
706,2142.33349609375,-3562099.75,2642.33349609375,-3562599.75,706
707,2142.33349609375,-3562599.75,2642.33349609375,-3563099.75,707
709,2142.33349609375,-3563599.75,2642.33349609375,-3564099.75,709
717,2142.33349609375,-3567599.75,2642.33349609375,-3568099.75,717
718,2142.33349609375,-3568099.75,2642.33349609375,-3568599.75,718
719,2142.33349609375,-3568599.75,2642.33349609375,-3569099.75,719
720,2142.33349609375,-3569099.75,2642.33349609375,-3569599.75,720
721,2142.33349609375,-3569599.75,2642.33349609375,-3570099.75,721
722,2142.33349609375,-3570099.75,2642.33349609375,-3570599.75,722
723,2142.33349609375,-3570599.75,2642.33349609375,-3571099.75,723
725,2142.33349609375,-3571599.75,2642.33349609375,-3572099.75,725
